Label,N,Level_3,Level_3_cap,type
CitiWall,6,Bedok,BEDOK,local
Private dinner function at SAFRA Jurong,47,Boon Lay and Pioneer,BOON LAY,local
Church of Singapore (Bukit Timah),4,Bukit Timah,BUKIT TIMAH,local
Project Glory,49,Downtown core,DOWNTOWN CORE,foreign
McDonald’s,1,Geylang,GEYLANG,foreign
Orange Ballroom,5,Geylang,GEYLANG,foreign
Westlite Toh Guan,110,Jurong East,JURONG EAST,foreign
Cassia @ Penjuru,15,Jurong East,JURONG EAST,foreign
Acacia Lodge,56,Jurong East,JURONG EAST,foreign
Toh Guan Dormitory,83,Jurong East,JURONG EAST,foreign
10 Kian Teck Crescent dormitory,4,Jurong West,JURONG WEST,foreign
Kian Teck Dormitory,3,Jurong West,JURONG WEST,foreign
boulder+ Gym (12 Kallang Avenue),3,Kalang,KALANG,local
Yong Thai Hang (Lavender),9,Kallang,KALLANG,imported
85 Kallang Dormitory,5,Kallang,KALLANG,foreign
Mustafa Centre,87,Kallang,KALLANG,local
ABC Hostel,7,Kallang,KALLANG,foreign
Kranji Lodge,20,Kranji,KRANJI,foreign
Kranji Dormitory,9,Kranji,KRANJI,foreign
Mandai Lodge,7,Mandai,MANDAI,foreign
Black Tap,8,Marina South,MARINA SOUTH,local
Kenyon/UBS construction site (9 Penang Road),15,Museum,MUSEUM,foreign
234 Balestier Road,8,Novena,NOVENA,foreign
Grand Hyatt Hotel,3,Orchard,ORCHARD,imported
McDonald’s,2,Orchard,ORCHARD,foreign
McDonald’s,1,Orchard,ORCHARD,foreign
The Life Church and Missions Singapore,10,Paya Lebar,PAYA LEBAR,local
S11 Dormitory,797,Punggol,PUNGGOL,foreign
PPT Lodge 1A,18,Punggol,PUNGGOL,foreign
Dover Court International School,11,Queenstown,QUEENSTOWN,local
Wizlearn Technologies Pte Ltd,14,Queenstown,QUEENSTOWN,imported
NUH renovation site,26,Queenstown,QUEENSTOWN,foreign
McDonald’s,1,Rochor,ROCHOR,foreign
Seletar Aerospace Heights,5,Seletar,SELETAR,foreign
Cochrane Lodge I,53,Sembawang,SEMBAWANG,foreign
Cochrane Lodge II,46,Sembawang,SEMBAWANG,foreign
21B Senoko Loop,20,Sembawang,SEMBAWANG,foreign
31 Sungei Kadut Avenue,31,Sungei Kadut,SUNGEI KADUT,foreign
Tampines Dormitory,61,Tampines,TAMPINES,foreign
Grace Assembly of God,23,Tanglin,TANGLIN,local
Shaw Lodge,24,Toa Payoh,TOA PAYOH,foreign
Tuas View Dormitory,43,Tuas,TUAS,foreign
Keppel Shipyard,22,Tuas,TUAS,foreign
Tech Park Crescent dormitory,19,Tuas,TUAS,foreign
Sungei Tengah Lodge,279,Western Water Catchment,WESTERN WATER CATCHMENT,foreign
North Coast Lodge,18,Woodlands,WOODLANDS,foreign
36 Woodlands Industrial Park E1,27,Woodlands,WOODLANDS,foreign
Westlite Woodlands dormitory,10,Woodlands,WOODLANDS,foreign
The Wedding Brocade,4,Yishun,YISHUN,imported
